epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.115,1.65313,1.41039,1.23671,0.73625,0.80089,0.82818,0.4635,1.40882,0.98734,1.17687,0.06725,0.000330808,0.000330808
2,123.292,1.55534,1.03521,1.17161,0.72749,0.81395,0.8198,0.47077,1.40519,0.84971,1.1719,0.034239,0.000653183,0.000653183
3,186.791,1.50038,0.97534,1.14659,0.77867,0.77682,0.84962,0.49567,1.3654,0.86213,1.14767,0.00121708,0.000964558,0.000964558
4,251.344,1.49879,0.96008,1.13818,0.6732,0.837,0.83332,0.47633,1.41513,0.91455,1.16515,0.0009505,0.0009505,0.0009505
5,311.926,1.50031,0.9322,1.16419,0.76778,0.8309,0.86155,0.50613,1.36444,0.81154,1.15128,0.000934,0.000934,0.000934
6,375.395,1.47591,0.93276,1.14872,0.73112,0.79725,0.83198,0.48415,1.39023,0.86575,1.14957,0.0009175,0.0009175,0.0009175
7,435.678,1.45531,0.88959,1.12905,0.76181,0.83331,0.84756,0.50964,1.32929,0.78982,1.13579,0.000901,0.000901,0.000901
8,500.554,1.43704,0.89854,1.12793,0.77081,0.84961,0.85312,0.49636,1.3866,0.77628,1.14464,0.0008845,0.0008845,0.0008845
9,561.114,1.44963,0.87761,1.12655,0.75634,0.84362,0.86467,0.52174,1.35342,0.78851,1.14271,0.000868,0.000868,0.000868
10,623.748,1.44854,0.88708,1.12397,0.78238,0.83562,0.84794,0.49251,1.39407,0.78164,1.14878,0.0008515,0.0008515,0.0008515
11,684.233,1.42724,0.87431,1.11509,0.80278,0.86381,0.88213,0.52616,1.34798,0.7344,1.13334,0.000835,0.000835,0.000835
12,747.377,1.40549,0.84888,1.1012,0.79076,0.79615,0.86242,0.52249,1.33274,0.77621,1.12633,0.0008185,0.0008185,0.0008185
13,808.208,1.3912,0.84149,1.09816,0.80363,0.82866,0.8707,0.51154,1.37411,0.76802,1.13745,0.000802,0.000802,0.000802
14,868.127,1.41129,0.84902,1.11323,0.79971,0.85363,0.88704,0.53178,1.3511,0.73616,1.12852,0.0007855,0.0007855,0.0007855
15,930.94,1.38194,0.83013,1.10216,0.79306,0.84341,0.88034,0.54086,1.32549,0.73622,1.12465,0.000769,0.000769,0.000769
16,994.344,1.39586,0.83248,1.09249,0.82186,0.8486,0.88012,0.53051,1.32138,0.72983,1.12081,0.0007525,0.0007525,0.0007525
17,1054.99,1.38011,0.824,1.08773,0.79642,0.82576,0.87088,0.52884,1.33909,0.74025,1.12757,0.000736,0.000736,0.000736
18,1114.61,1.38266,0.82169,1.09147,0.77975,0.85606,0.89178,0.52237,1.36884,0.75838,1.13152,0.0007195,0.0007195,0.0007195
19,1175.79,1.35864,0.79835,1.08442,0.80627,0.84052,0.89749,0.54222,1.30685,0.73519,1.11361,0.000703,0.000703,0.000703
20,1239.48,1.35861,0.78877,1.08727,0.80121,0.85903,0.88161,0.51786,1.38311,0.74266,1.13723,0.0006865,0.0006865,0.0006865
21,1299.6,1.34897,0.79158,1.08087,0.74966,0.8539,0.86465,0.51383,1.35629,0.78683,1.13763,0.00067,0.00067,0.00067
22,1359.09,1.36006,0.78096,1.08631,0.82283,0.81631,0.88465,0.54553,1.31643,0.72212,1.11603,0.0006535,0.0006535,0.0006535
23,1422.4,1.33987,0.78151,1.07979,0.79777,0.84877,0.8835,0.52865,1.36044,0.73372,1.13064,0.000637,0.000637,0.000637
24,1482.02,1.33419,0.77127,1.0771,0.79589,0.85722,0.87205,0.5272,1.34412,0.72484,1.12813,0.0006205,0.0006205,0.0006205
25,1542.17,1.34043,0.76554,1.08339,0.82524,0.84344,0.89035,0.5382,1.33702,0.70761,1.13057,0.000604,0.000604,0.000604
26,1602.66,1.35254,0.77328,1.08129,0.81192,0.87035,0.89201,0.54521,1.34293,0.69145,1.12333,0.0005875,0.0005875,0.0005875
27,1665.78,1.32552,0.76047,1.0693,0.81917,0.86414,0.89354,0.55166,1.32463,0.69032,1.12244,0.000571,0.000571,0.000571
28,1729.45,1.33038,0.75538,1.06995,0.82336,0.81408,0.88277,0.51946,1.40251,0.72875,1.1524,0.0005545,0.0005545,0.0005545
29,1789.62,1.30663,0.7352,1.06703,0.77092,0.88476,0.88957,0.51007,1.44324,0.73483,1.159,0.000538,0.000538,0.000538
30,1850.11,1.34516,0.7476,1.07566,0.79146,0.86665,0.89576,0.55291,1.294,0.68755,1.11997,0.0005215,0.0005215,0.0005215
31,1913.46,1.32056,0.72893,1.06767,0.80543,0.8641,0.8863,0.53682,1.34334,0.70136,1.13077,0.000505,0.000505,0.000505
32,1973.57,1.31216,0.72612,1.06986,0.80074,0.84834,0.88712,0.51968,1.36721,0.72065,1.13638,0.0004885,0.0004885,0.0004885
33,2033.4,1.29528,0.71934,1.05504,0.79765,0.87641,0.90488,0.55315,1.34142,0.70091,1.12188,0.000472,0.000472,0.000472
34,2095.85,1.29144,0.7198,1.05675,0.80278,0.87011,0.9025,0.55307,1.31283,0.70165,1.11758,0.0004555,0.0004555,0.0004555
35,2156,1.28397,0.72159,1.06107,0.8087,0.86384,0.89576,0.55043,1.31757,0.69307,1.11987,0.000439,0.000439,0.000439
36,2216.05,1.27218,0.70991,1.04809,0.80723,0.87466,0.89347,0.55028,1.30694,0.69152,1.1168,0.0004225,0.0004225,0.0004225
